States/UTs,District,Year,Murder,Attempt to commit Murder,Culpable Homicide not amounting to Murder,Attempt to commit Culpable Homicide,Rape,Custodial Rape,Custodial_Gang Rape,Custodial_Other Rape,Rape other than Custodial,Rape_Gang Rape,Rape_Others,Attempt to commit Rape,Kidnapping & Abduction_Total,Kidnapping & Abduction,Kidnapping & Abduction in order to Murder,Kidnapping for Ransom,Kidnapping & Abduction of Women to compel her for marriage,Other Kidnapping,Dacoity,Dacoity with Murder,Other Dacoity,Making Preparation and Assembly for committing Dacoity,Robbery,Criminal Trespass/Burglary,Criminal Trespass or Burglary,House Trespass & House Breaking,Theft,Auto Theft,Other Thefts,Unlawful Assembly,Riots,Riots_Communal,Riots_Industrial,Riots_Political,Riots_Caste Conflict,Riots_SC/STs Vs Non-SCs/STs,Riots_Other Caste Conflict,Riots_Agrarian,Riots_Students,Riots_Sectarian,Riots_Others,Criminal Breach of Trust,Cheating,Forgery,Acid attack,Dowry Deaths,Sexual Harassment,Cruelty by Husband or his Relatives,Importation of Girls from Foreign Country,Deaths due to negligent driving/act,Incidence of Rash Driving,HumanTrafficking,Other IPC crimes,Total Cognizable IPC crimes
Gujarat,Navsari,2014,19,11,0,0,15,0,0,0,15,0,15,0,37,7,0,0,19,11,7,0,7,0,9,136,117,19,227,116,111,4,19,0,0,0,0,0,0,1,0,0,18,45,21,5,0,0,11,69,0,240,311,0,479,1680
Gujarat,Panchmahal,2014,34,8,0,0,24,0,0,0,24,0,24,1,69,66,0,0,0,3,6,0,6,0,8,93,93,0,160,98,62,2,23,0,0,0,0,0,0,22,0,0,1,10,8,8,0,0,20,106,0,242,958,0,758,2562
Gujarat,Patan,2014,17,15,0,0,25,0,0,0,25,0,25,0,53,36,1,1,8,7,14,0,14,0,25,85,45,40,261,126,135,3,28,1,1,0,13,1,12,2,0,0,11,15,34,8,0,1,0,138,0,129,279,0,844,1999
Gujarat,Porbandar,2014,8,8,0,0,8,0,0,0,8,0,8,0,20,17,0,0,0,3,1,0,1,0,11,29,0,29,57,16,41,6,19,0,0,0,0,0,0,0,0,0,19,11,14,5,0,1,3,93,0,47,124,0,408,881
Gujarat,Rajkot City,2014,43,43,2,0,17,0,0,0,17,1,16,0,99,27,0,4,52,16,7,0,7,0,91,176,38,138,835,671,164,14,61,0,0,0,0,0,0,0,0,0,61,70,18,3,0,0,5,301,0,142,626,0,807,3378
Gujarat,Rajkot Rural,2014,24,19,1,0,30,0,0,0,30,0,30,0,69,0,0,0,60,9,7,0,7,0,24,104,89,15,211,118,93,5,44,0,0,0,0,0,0,6,0,0,38,33,14,4,0,1,12,234,0,198,836,0,928,2828
Gujarat,Sabarkantha,2014,22,10,1,0,10,0,0,0,10,2,8,0,37,26,0,0,9,2,4,0,4,0,20,64,0,64,197,102,95,2,26,7,0,0,2,2,0,0,0,0,17,13,36,18,0,0,33,131,0,170,3119,0,1694,5619
Gujarat,Surat City,2014,85,41,8,0,94,0,0,0,94,4,90,0,263,123,0,5,101,34,14,0,14,2,30,257,182,75,1315,886,429,5,40,1,0,0,7,0,7,2,0,0,30,26,329,18,0,2,45,405,0,244,656,0,116,4091
Gujarat,Surat Rural,2014,52,8,2,0,21,0,0,0,21,1,20,0,45,8,0,0,26,11,13,0,13,0,32,151,142,9,477,283,194,10,26,0,0,4,1,1,0,4,0,2,15,27,53,6,0,0,1,90,0,480,1042,0,1174,3732
Gujarat,Surendranagar,2014,34,48,0,0,22,0,0,0,22,2,20,0,44,10,0,3,19,12,8,0,8,1,15,88,75,13,232,117,115,7,55,0,0,0,8,0,8,0,0,0,47,26,11,3,1,0,7,89,0,203,472,0,930,2319
Gujarat,Tapi,2014,13,2,0,0,15,0,0,0,15,0,15,0,13,0,0,0,10,3,2,0,2,1,3,34,0,34,112,54,58,2,12,0,0,0,0,0,0,0,0,0,12,12,5,11,0,0,0,20,0,150,170,0,284,875
Gujarat,Vadodara City,2014,23,37,0,3,23,0,0,0,23,0,23,0,93,22,0,1,56,14,10,0,10,0,117,502,0,502,1242,820,422,17,60,19,0,0,0,0,0,0,0,0,41,18,195,9,1,1,46,306,0,204,2946,0,6592,12468
Gujarat,Vadodara Rural,2014,24,6,2,0,11,0,0,0,11,0,11,0,66,0,0,1,57,8,7,0,7,0,7,57,0,57,158,112,46,3,28,0,0,0,5,5,0,3,0,0,20,13,26,5,0,0,17,67,0,276,817,0,1205,2806
Gujarat,Valsad,2014,43,13,0,0,26,0,0,0,26,1,25,0,111,55,0,1,44,11,18,0,18,1,29,221,186,35,567,310,257,4,43,0,0,0,0,0,0,0,0,0,43,71,48,32,0,0,4,83,0,312,641,0,659,2952
Gujarat,W.Rly  Ahmedabad,2014,9,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,11,1,0,1,357,37,320,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,1,2,0,5,3,0,36,437
Gujarat,W.Rly Vadodara,2014,5,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,0,4,0,4,4,0,4,560,13,547,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,1,0,63,650
Haryana,Ambala (Rural),2014,15,13,2,0,25,0,0,0,25,5,20,6,59,0,3,0,24,32,2,0,2,0,4,96,83,13,194,83,111,0,0,0,0,0,0,0,0,0,0,0,0,5,38,15,0,9,15,52,0,119,147,0,215,1061
Haryana,Ambala (Urban),2014,25,18,1,0,31,0,0,0,31,1,30,3,159,0,0,0,36,123,0,0,0,0,16,321,320,1,430,290,140,0,6,0,0,0,0,0,0,0,0,0,6,33,52,22,0,8,6,111,0,124,195,0,288,1881
Haryana,Bhiwani,2014,62,47,2,0,44,0,0,0,44,10,34,10,102,0,0,1,27,74,7,0,7,2,54,400,352,48,822,514,308,0,219,0,0,0,0,0,0,0,0,0,219,17,87,66,0,12,24,119,0,234,400,1,1701,4484
Haryana,Faridabad,2014,64,41,3,0,101,0,0,0,101,13,88,4,384,3,0,0,190,191,7,0,7,4,40,412,319,93,2079,1736,343,0,207,207,0,0,0,0,0,0,0,0,0,200,50,107,1,20,35,302,0,13,0,0,1709,5893
Haryana,Fatehabad,2014,20,15,0,0,27,0,0,0,27,7,20,1,39,0,2,0,5,32,4,0,4,1,16,218,194,24,300,211,89,0,92,0,0,0,0,0,0,0,0,0,92,10,64,1,1,7,20,154,0,104,190,1,1071,2389
Haryana,G. R. P.,2014,26,6,0,0,1,0,0,0,1,0,1,0,4,0,0,0,4,0,1,0,1,5,31,2,2,0,375,91,284,0,4,0,0,0,0,0,0,0,0,0,4,3,8,0,0,8,3,0,0,13,60,0,562,1108
Haryana,Gurgaon,2014,96,54,5,0,117,0,0,0,117,16,101,13,348,72,7,3,53,213,28,2,26,8,119,725,526,199,4815,3638,1177,0,172,0,0,0,0,0,0,0,0,0,172,140,439,1,1,19,50,277,0,416,776,4,2560,11308
Haryana,Hissar,2014,66,49,3,0,55,0,0,0,55,11,44,3,73,1,0,0,16,56,12,1,11,6,39,558,461,97,1191,806,385,0,164,0,0,0,0,0,0,0,0,0,164,18,155,3,3,14,52,323,0,213,387,0,2056,5503
Haryana,Jhajjar,2014,69,60,0,1,56,0,0,0,56,6,50,2,24,0,0,1,15,8,3,0,3,5,28,161,137,24,427,302,125,0,32,0,0,0,32,0,32,0,0,0,0,7,63,0,1,25,16,125,0,223,240,0,417,2042
Haryana,Jind,2014,49,29,4,0,23,0,0,0,23,6,17,6,82,0,2,0,20,60,6,0,6,5,37,246,219,27,533,377,156,0,150,0,0,0,0,0,0,0,0,0,150,57,26,0,0,12,24,120,0,154,189,0,1036,2812
Haryana,Kaithal,2014,47,19,5,0,33,0,0,0,33,8,25,1,133,1,0,0,5,127,2,0,2,3,11,170,158,12,352,274,78,0,0,0,0,0,0,0,0,0,0,0,0,44,15,10,0,10,25,116,0,133,226,0,439,1832
Haryana,Karnal,2014,53,33,3,1,100,0,0,0,100,19,81,10,379,0,1,2,47,329,6,0,6,0,24,367,343,24,976,693,283,0,21,0,0,0,0,0,0,0,0,0,21,12,172,69,0,17,11,223,0,269,301,0,626,3792
Haryana,Kurukshetra,2014,30,15,3,0,35,0,0,0,35,2,33,9,61,0,4,0,57,0,4,0,4,2,21,261,220,41,631,465,166,0,0,0,0,0,0,0,0,0,0,0,0,13,113,46,0,6,11,100,0,195,256,0,561,2408
Haryana,Mahendergarh,2014,38,9,5,1,24,0,0,0,24,1,23,7,72,0,0,0,10,62,8,0,8,2,26,199,176,23,445,247,198,0,93,0,0,0,0,0,0,0,0,0,93,18,44,34,0,15,20,78,0,156,321,0,488,2126
Haryana,Mewat,2014,33,68,2,0,85,0,0,0,85,40,45,2,75,4,0,2,23,46,13,0,13,2,27,79,79,0,452,318,134,0,224,0,0,0,0,0,0,0,0,0,224,15,36,25,0,5,26,106,0,139,243,0,624,2404
Haryana,Palwal,2014,52,64,3,0,49,0,0,0,49,14,35,3,97,0,0,0,23,74,9,0,9,1,53,168,129,39,844,657,187,0,243,0,0,0,0,0,0,0,0,0,243,34,55,34,0,16,45,193,0,186,270,0,672,3153
Haryana,Panchkula,2014,14,10,2,0,36,0,0,0,36,1,35,2,146,0,0,1,18,127,7,0,7,6,73,233,233,0,357,254,103,0,0,0,0,0,0,0,0,0,0,0,0,1,70,24,0,5,9,73,0,93,126,0,262,1580
Haryana,Panipat,2014,53,33,1,0,64,0,0,0,64,16,48,12,100,2,0,0,78,20,11,0,11,17,49,416,381,35,1207,976,231,0,110,0,0,0,0,0,0,0,0,0,110,40,73,61,1,18,37,227,0,275,326,0,1389,4583
Haryana,Rewari,2014,27,28,5,0,41,0,0,0,41,5,36,16,114,0,0,0,83,31,10,0,10,2,53,224,224,0,670,474,196,0,64,0,0,0,0,0,0,0,0,0,64,27,89,11,0,11,41,105,0,240,424,0,382,2628
Haryana,Rohtak,2014,76,60,7,1,68,0,0,0,68,13,55,3,85,2,0,2,8,73,9,0,9,3,43,342,293,49,984,720,264,0,110,0,0,0,1,1,0,0,0,0,109,38,29,70,0,16,31,168,0,185,231,1,1093,3731
Haryana,Sirsa,2014,36,28,3,0,49,0,0,0,49,9,40,7,77,63,1,1,0,12,8,0,8,2,25,376,284,92,543,340,203,0,19,0,0,0,1,1,0,0,0,0,18,20,57,42,0,5,52,174,0,151,187,1,1528,3446
Haryana,Sonipat,2014,110,66,4,5,60,0,0,0,60,14,46,9,83,0,0,0,62,21,9,0,9,3,54,364,316,48,940,599,341,0,10,0,0,0,0,0,0,0,0,0,10,22,120,1,1,28,23,162,0,358,465,0,1250,4218
Haryana,Yamunanagar,2014,45,18,2,0,50,0,0,0,50,13,37,7,386,1,3,1,82,299,6,0,6,2,31,379,315,64,747,572,175,0,4,0,0,0,0,0,0,0,0,0,4,12,90,25,3,7,23,170,0,157,242,1,802,3270
Haryana,Irrigation & Power,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,192
Himachal Pradesh,Baddi,2014,13,3,0,0,9,0,0,0,9,0,9,0,14,5,1,0,8,0,0,0,0,0,3,32,25,7,41,23,18,0,42,0,0,0,0,0,0,0,0,0,42,18,21,2,0,0,3,19,0,54,153,1,191,628
Himachal Pradesh,Bilaspur,2014,4,9,0,0,15,0,0,0,15,0,15,1,46,3,0,0,42,1,0,0,0,0,0,45,35,10,39,19,20,0,36,0,0,0,0,0,0,0,0,0,36,2,20,0,0,0,16,25,0,42,186,0,579,1080
Himachal Pradesh,Chamba,2014,8,5,1,0,23,0,0,0,23,0,23,0,20,0,0,0,19,1,0,0,0,0,1,98,27,71,31,7,24,0,38,0,0,1,0,0,0,0,0,0,37,2,14,4,0,0,6,9,0,54,87,0,267,691
Himachal Pradesh,C. I. D.,2014,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,5
Himachal Pradesh,G. R. P.,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9
Himachal Pradesh,Hamirpur,2014,12,4,0,0,13,0,0,0,13,0,13,0,18,18,0,0,0,0,0,0,0,0,0,44,44,0,32,6,26,5,14,0,0,0,0,0,0,0,0,0,14,7,30,7,0,0,0,27,0,27,125,0,377,755
Himachal Pradesh,Kangra,2014,26,11,2,0,43,0,0,0,43,1,42,3,32,0,0,0,26,6,1,0,1,0,2,141,111,30,107,37,70,0,78,0,0,0,0,0,0,0,0,0,78,26,53,1,0,0,17,46,0,95,422,0,1384,2534
Himachal Pradesh,Kinnaur,2014,2,0,0,0,10,0,0,0,10,0,10,0,5,4,1,0,0,0,0,0,0,0,1,40,24,16,11,1,10,1,6,0,0,0,0,0,0,0,0,0,6,4,2,0,0,0,0,3,0,27,30,0,51,203
Himachal Pradesh,Kullu,2014,9,4,0,0,16,0,0,0,16,0,16,0,24,0,0,0,0,24,0,0,0,0,0,55,55,0,49,23,26,0,26,0,0,0,0,0,0,0,0,0,26,5,26,2,0,0,7,21,0,52,114,0,405,831
Himachal Pradesh,Lahaul & Spiti,2014,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,8,0,61,82
Himachal Pradesh,Mandi,2014,15,6,0,0,47,0,0,0,47,2,45,0,46,13,0,0,33,0,1,0,1,0,0,76,54,22,57,19,38,5,51,0,0,0,0,0,0,0,0,0,51,9,59,2,0,0,19,50,0,63,346,0,896,1797
Himachal Pradesh,Shimla,2014,18,15,3,0,39,0,0,0,39,2,37,0,39,13,1,0,25,0,0,0,0,0,6,149,0,149,116,47,69,0,78,0,0,0,0,0,0,0,6,0,72,20,45,16,1,0,34,27,0,134,290,0,842,1913
Himachal Pradesh,Sirmaur,2014,6,3,1,0,28,0,0,0,28,0,28,0,19,0,0,0,15,4,0,0,0,0,2,50,0,50,48,19,29,0,41,0,0,0,0,0,0,0,0,0,41,15,27,0,0,0,40,24,0,80,162,0,280,854
Himachal Pradesh,Solan,2014,5,1,0,0,16,0,0,0,16,1,15,1,24,10,0,0,0,14,1,0,1,0,0,104,0,104,73,39,34,4,30,0,0,0,0,0,0,0,0,0,30,15,26,14,0,0,4,12,0,61,227,0,271,906
Himachal Pradesh,Una,2014,9,2,2,0,23,0,0,0,23,0,23,0,16,2,1,1,7,5,1,0,1,0,1,49,49,0,46,12,34,6,38,0,0,0,0,0,0,0,0,0,38,6,64,0,0,1,13,62,0,80,186,0,385,1013
Jammu & Kashmir,Anantnag,2014,9,16,0,0,19,0,0,0,19,0,19,0,64,35,2,0,27,0,0,0,0,0,0,92,0,92,90,33,57,0,180,0,0,0,0,0,0,0,0,0,180,4,20,0,0,0,0,9,0,29,206,0,427,1184
Jammu & Kashmir,Awantipora,2014,9,6,0,0,6,0,0,0,6,0,6,0,19,0,0,0,19,0,0,0,0,0,3,15,15,0,31,5,26,0,15,0,0,0,0,0,0,0,0,0,15,0,6,0,0,0,19,1,0,9,69,0,181,395
Jammu & Kashmir,Bandipora,2014,2,5,0,0,4,0,0,0,4,0,4,0,40,0,0,0,37,3,0,0,0,0,1,36,36,0,34,3,31,0,65,0,0,0,0,0,0,0,0,0,65,0,9,0,0,0,0,4,0,18,64,0,272,558
Jammu & Kashmir,Baramulla,2014,2,16,4,0,10,0,0,0,10,0,10,4,61,33,0,0,0,28,0,0,0,0,11,56,50,6,81,26,55,0,151,0,0,0,0,0,0,0,0,0,151,5,13,0,0,0,0,11,0,21,174,0,373,1003
Jammu & Kashmir,Budgam,2014,11,25,3,0,9,0,0,0,9,0,9,0,48,0,0,0,0,48,0,0,0,0,2,58,30,28,78,18,60,0,145,0,0,11,0,0,0,0,0,0,134,6,7,20,0,0,0,3,0,9,119,0,440,992
Jammu & Kashmir,Crime Jammu,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,14
Jammu & Kashmir,Crime Srinagar,2014,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,44
Jammu & Kashmir,Doda,2014,3,24,0,0,23,0,0,0,23,0,23,0,16,16,0,0,0,0,0,0,0,0,0,40,40,0,44,2,42,0,3,0,0,0,0,0,0,0,0,0,3,7,13,0,0,0,0,14,0,166,0,0,235,611
Jammu & Kashmir,Ganderbal,2014,2,11,0,2,0,0,0,0,0,0,0,2,20,0,0,0,0,20,1,0,1,0,0,44,44,0,26,6,20,0,50,0,0,50,0,0,0,0,0,0,0,4,3,0,0,0,54,3,0,17,86,0,137,462
Jammu & Kashmir,Handwara,2014,3,14,0,0,3,0,0,0,3,0,3,0,26,0,2,0,0,24,0,0,0,0,2,22,22,0,44,0,44,0,53,0,0,0,0,0,0,0,0,0,53,2,1,0,0,0,0,2,0,8,94,0,201,478
Jammu & Kashmir,Jammu,2014,21,86,0,0,68,0,0,0,68,0,68,0,73,0,0,0,0,73,1,0,1,0,6,290,0,290,399,242,157,0,71,0,0,0,0,0,0,0,0,0,71,16,159,0,0,4,0,159,0,143,1287,0,1281,4132
Jammu & Kashmir,Kargil,2014,1,0,0,0,2,0,0,0,2,0,2,0,2,0,0,0,2,0,0,0,0,0,0,3,0,3,3,0,3,0,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,17,50,0,14,105
Jammu & Kashmir,Kathua,2014,13,22,1,0,18,0,0,0,18,0,18,4,36,33,3,0,0,0,0,0,0,0,0,58,58,0,69,32,37,0,39,0,0,0,0,0,0,0,0,0,39,8,18,0,0,1,0,21,0,58,384,0,456,1224
Jammu & Kashmir,Kishtwar,2014,0,7,0,0,6,0,0,0,6,0,6,0,18,18,0,0,0,0,0,0,0,0,0,29,29,0,21,3,18,0,2,0,0,0,0,0,0,0,0,0,2,1,6,0,0,0,0,9,0,1,72,0,187,365
Jammu & Kashmir,Kulgam,2014,4,9,0,0,7,0,0,0,7,0,7,0,44,39,5,0,0,0,0,0,0,0,12,39,39,0,48,7,41,0,78,0,0,0,0,0,0,0,0,0,78,4,12,0,0,0,0,0,0,21,178,0,99,562
Jammu & Kashmir,Kupwara,2014,7,25,0,0,8,0,0,0,8,0,8,0,42,0,0,0,0,42,0,0,0,0,0,34,34,0,34,0,34,0,159,0,0,0,0,0,0,0,0,0,159,4,7,0,0,0,61,8,0,8,105,0,184,694
Jammu & Kashmir,Leh,2014,1,0,0,0,6,0,0,0,6,0,6,0,1,0,0,0,0,1,0,0,0,0,0,7,7,0,8,2,6,0,4,0,0,4,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,124,167
Jammu & Kashmir,Poonch,2014,8,15,1,0,13,0,0,0,13,0,13,0,36,10,1,0,25,0,0,0,0,0,0,38,33,5,30,3,27,0,85,0,0,0,0,0,0,0,0,0,85,3,10,0,0,0,42,25,0,19,131,0,288,757
Jammu & Kashmir,Pulwama,2014,5,13,0,0,7,0,0,0,7,0,7,0,21,20,1,0,0,0,0,0,0,0,5,16,16,0,20,5,15,0,63,0,0,0,0,0,0,0,0,0,63,1,6,0,0,0,0,1,0,7,49,0,73,294
Jammu & Kashmir,Railways Jammu,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,12
Jammu & Kashmir,Railways Kashmir,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,4,11
Jammu & Kashmir,Railways Katra,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,5
Jammu & Kashmir,Rajouri,2014,18,29,3,0,39,0,0,0,39,0,39,1,62,0,0,0,60,2,3,0,3,0,1,44,44,0,56,15,41,0,34,0,0,0,0,0,0,0,0,0,34,9,28,2,0,0,65,71,0,42,343,0,853,1742
Jammu & Kashmir,Ramban,2014,3,7,0,0,8,0,0,0,8,0,8,2,23,8,0,0,15,0,0,0,0,0,0,17,16,1,41,14,27,0,2,0,0,0,0,0,0,0,0,0,2,2,7,2,0,0,0,12,0,38,219,0,242,633
Jammu & Kashmir,Reasi,2014,1,10,0,0,16,0,0,0,16,0,16,1,29,14,2,0,13,0,0,0,0,0,0,20,15,5,34,12,22,0,28,0,0,0,0,0,0,0,0,0,28,2,9,0,0,0,0,16,0,29,175,0,348,734
Jammu & Kashmir,Samba,2014,4,20,0,0,7,0,0,0,7,0,7,1,12,6,0,0,0,6,0,0,0,0,1,29,29,0,33,20,13,0,34,0,0,0,0,0,0,0,0,0,34,2,10,0,0,0,0,8,0,1,307,0,161,637
Jammu & Kashmir,Shopian,2014,5,39,0,0,1,0,0,0,1,0,1,0,37,9,0,0,28,0,0,0,0,0,6,17,17,0,49,5,44,0,74,0,0,0,0,0,0,0,0,0,74,2,2,0,0,0,0,2,0,10,44,0,180,469
Jammu & Kashmir,Sopore,2014,9,34,1,0,8,0,0,0,8,0,8,0,40,0,0,0,0,40,0,0,0,0,3,75,75,0,62,5,57,0,45,0,0,0,0,0,0,0,0,0,45,1,2,0,0,0,0,7,0,4,76,0,178,553
Jammu & Kashmir,Srinagar,2014,5,34,4,0,12,0,0,0,12,0,12,5,71,37,3,0,0,31,1,0,1,0,36,238,0,238,375,240,135,0,130,0,0,0,0,0,0,0,0,0,130,9,77,0,2,0,1,63,0,51,323,0,794,2243
Jammu & Kashmir,Udhampur,2014,8,17,1,0,30,0,0,0,30,0,30,0,19,9,0,0,10,0,0,0,0,0,0,48,44,4,54,21,33,0,3,0,0,0,0,0,0,0,0,0,3,3,7,0,0,0,0,18,0,56,445,0,398,1137
Jharkhand,Bokaro,2014,43,13,0,0,63,0,0,0,63,0,63,0,97,0,0,0,97,0,6,0,6,0,41,114,0,114,752,247,505,16,136,0,0,0,0,0,0,0,0,0,136,60,147,0,0,18,0,187,0,0,0,0,1421,3177
Jharkhand,Chaibasa,2014,120,45,2,0,54,0,0,0,54,5,49,11,46,0,3,0,22,21,11,0,11,0,16,34,22,12,163,77,86,17,0,0,0,0,0,0,0,0,0,0,0,1,43,0,0,2,11,19,0,99,75,1,135,964
Jharkhand,Chatra,2014,59,3,1,0,18,0,0,0,18,0,18,11,37,0,0,4,31,2,6,0,6,0,8,20,20,0,141,30,111,0,86,0,0,0,0,0,0,0,0,0,86,2,35,10,0,62,0,24,0,44,63,22,574,1244
Jharkhand,Deoghar,2014,43,67,6,0,25,0,0,0,25,0,25,0,63,0,0,0,63,0,10,0,10,2,17,84,0,84,343,102,241,0,91,0,0,0,0,0,0,0,0,0,91,45,98,0,0,28,6,138,0,73,88,0,475,1725
Jharkhand,Dhanbad,2014,79,8,9,0,54,0,0,0,54,4,50,21,155,0,0,2,148,5,34,0,34,1,48,219,0,219,1052,524,528,0,225,7,0,2,0,0,0,0,0,0,216,235,26,38,0,28,0,99,0,1,449,0,2026,4864
Jharkhand,Dhanbad Railway,2014,13,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,13,0,13,0,7,1,0,1,221,15,206,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,2,0,0,0,0,0,0,89,358
Jharkhand,Dumka,2014,59,32,1,0,39,0,0,0,39,2,37,16,31,9,0,1,16,5,10,0,10,0,5,73,0,73,239,71,168,9,62,0,0,0,0,0,0,0,0,0,62,8,33,19,0,11,0,55,0,135,146,11,428,1463
Jharkhand,Garhwa,2014,67,248,4,0,50,0,0,0,50,0,50,10,90,0,0,4,80,6,3,3,0,0,30,60,60,0,154,39,115,0,143,143,0,0,0,0,0,0,0,0,0,65,93,0,0,25,19,45,0,60,107,0,1167,2490
Jharkhand,Giridih,2014,72,71,1,1,58,0,0,0,58,0,58,27,91,0,0,0,0,91,20,0,20,0,35,62,62,0,284,60,224,5,199,199,0,0,0,0,0,0,0,0,0,23,145,60,0,40,39,176,0,106,88,0,1843,3504
Jharkhand,Godda,2014,50,0,0,0,34,0,0,0,34,0,34,0,61,0,0,1,17,43,3,0,3,0,6,18,0,18,147,21,126,0,74,0,0,0,0,0,0,0,0,0,74,7,56,0,0,3,0,57,0,0,110,0,1084,1744
Jharkhand,Gumla,2014,187,21,3,0,67,0,0,0,67,6,61,0,45,2,4,1,36,2,6,0,6,0,34,21,21,0,140,45,95,0,13,0,0,0,0,0,0,0,0,0,13,0,38,6,0,1,0,24,0,95,92,58,264,1188
Jharkhand,Hazaribagh,2014,60,4,1,0,52,0,0,0,52,7,45,7,110,12,0,7,26,65,25,0,25,3,25,131,105,26,459,183,276,0,97,0,0,0,0,0,0,0,0,0,97,1,135,2,0,23,0,37,0,159,147,1,1459,2994
Jharkhand,Jamshedpur,2014,100,52,3,0,55,0,0,0,55,0,55,21,82,8,3,2,64,5,11,0,11,2,43,175,160,15,909,445,464,2,99,0,0,0,0,0,0,0,0,0,99,103,427,41,1,13,11,110,0,178,197,0,1211,3899
Jharkhand,Jamshedpur Railway,2014,11,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,4,1,0,1,118,5,113,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,2,2,1,31,181
Jharkhand,Jamtara,2014,18,49,0,1,27,0,0,0,27,1,26,19,28,7,2,0,14,5,2,0,2,0,6,30,18,12,123,54,69,5,111,0,0,0,61,1,60,0,0,0,50,12,71,32,0,10,1,70,2,30,39,0,295,1009
Jharkhand,Khunti,2014,84,12,1,0,7,0,0,0,7,0,7,2,16,2,7,1,5,1,1,1,0,0,19,2,1,1,38,14,24,3,36,0,0,0,0,0,0,0,0,0,36,1,5,8,0,2,0,11,0,41,20,24,58,398
Jharkhand,Koderma,2014,25,6,0,0,15,0,0,0,15,0,15,0,41,6,0,3,13,19,11,1,10,0,11,33,33,0,125,32,93,0,78,0,0,0,0,0,0,0,0,0,78,0,60,0,0,16,0,39,0,58,75,0,747,1355
Jharkhand,Latehar,2014,41,11,0,0,25,0,0,0,25,4,21,0,37,37,0,0,0,0,6,0,6,0,9,15,6,9,107,16,91,0,46,0,0,11,8,2,6,6,0,0,21,14,18,15,0,8,0,17,0,54,47,0,379,878
Jharkhand,Lohardagga,2014,40,14,0,0,43,0,0,0,43,0,43,0,32,0,0,1,19,12,3,0,3,0,13,25,25,0,75,19,56,0,5,0,0,0,0,0,0,0,0,0,5,7,25,0,0,2,0,24,0,42,48,0,119,560
Jharkhand,Pakur,2014,30,16,0,1,55,0,0,0,55,3,52,6,18,3,1,0,11,3,1,0,1,0,5,35,35,0,74,45,29,3,58,0,0,0,1,1,0,0,0,0,57,7,47,3,0,1,5,91,0,68,0,6,255,843
Jharkhand,Palamu,2014,77,90,22,2,44,0,0,0,44,4,40,6,68,5,6,5,23,29,22,0,22,0,43,87,80,7,203,72,131,0,122,0,0,0,0,0,0,0,0,0,122,69,51,48,0,19,15,42,0,85,88,0,1274,2525
